Distance_(pixels),Gray_Value
0,254.333
1,254.667
2,254.667
3,254.667
4,254.333
5,254.000
6,253.667
7,253.333
8,253.333
9,253.333
10,253.333
11,253.333
12,253.167
13,253.000
14,252.333
15,251.667
16,251.333
17,251.000
18,250.833
19,239.943
20,197.678
21,147.643
22,134.231
23,134.165
24,122.687
25,113.265
26,108.277
27,106.747
28,105.253
29,99.981
30,93.408
31,87.724
32,81.448
33,74.162
34,70.374
35,72.747
36,76.333
37,74.757
38,70.519
39,68.247
40,64.725
41,57.175
42,52.490
43,52.322
44,51.345
45,49.341
46,48.128
47,47.930
48,46.917
49,44.858
50,43.006
51,40.893
52,38.929
53,37.072
54,35.356
55,34.831
56,35.294
57,36.258
58,34.926
59,33.117
60,32.605
61,30.713
62,28.086
63,25.362
64,22.887
65,21.411
66,21.086
67,21.616
68,22.321
69,22.833
70,22.984
71,22.972
72,22.460
73,21.947
74,21.769
75,21.295
76,20.711
77,20.217
78,20.000
79,20.229
80,20.892
81,21.564
82,22.246
83,22.667
84,22.494
85,22.078
86,21.696
87,21.278
88,20.500
89,19.920
90,20.149
91,21.458
92,23.550
93,25.167
94,25.167
95,23.493
96,21.332
97,19.844
98,19.523
99,19.351
100,18.857
101,18.863
102,19.369
103,19.375
104,18.000
105,16.000
106,15.393
107,15.299
108,14.811
109,14.823
110,15.002
111,15.257
112,15.763
113,15.769
114,15.833
115,16.229
116,15.695
117,15.793
118,16.901
119,17.501
120,16.986
121,15.912
122,15.853
123,15.833
124,14.833
125,13.833
126,13.333
127,13.333
128,13.333
129,13.333
130,12.872
131,11.923
132,11.384
133,11.333
134,12.333
135,13.833
136,14.409
137,14.996
138,15.421
139,14.833
140,13.833
141,13.333
142,13.333
143,12.951
144,11.957
145,10.833
146,10.197
147,10.549
148,11.537
149,12.679
150,13.833
151,14.333
152,14.161
153,13.977
154,13.982
155,13.000
156,12.000
157,13.000
158,14.000
159,13.000
160,11.500
161,11.500
162,12.633
163,13.051
164,12.324
165,12.085
166,12.333
167,12.570
168,12.294
169,11.507
170,10.989
171,10.546
172,10.040
173,9.734
174,10.028
175,10.333
176,10.151
177,9.805
178,9.494
179,9.669
180,10.518
181,11.182
182,11.688
183,12.194
184,12.333
185,12.333
186,10.833
187,9.333
188,9.833
189,10.333
190,9.833
191,9.333
192,8.833
193,7.833
194,6.906
195,6.900
196,7.333
197,7.388
198,7.430
199,7.918
200,8.406
201,8.394
202,8.882
203,8.888
204,8.370
205,8.839
206,9.833
207,10.805
208,11.777
209,12.267
210,11.793
211,10.813
212,9.845
213,8.890
214,7.947
215,7.515
216,7.536
217,7.556
218,8.455
219,9.333
220,9.418
221,9.515
222,9.930
223,9.833
224,8.443
225,7.064
226,5.955
227,5.206
228,5.433
229,6.775
230,8.396
231,9.530
232,9.518
233,8.506
234,7.883
235,7.765
236,7.439
237,6.937
238,6.741
239,6.733
240,6.931
241,7.142
242,6.927
243,6.476
244,6.231
245,6.448
246,7.176
247,8.168
248,8.905
249,9.130
250,9.555
251,9.500
252,9.000
253,9.000
254,9.000
255,9.500
256,10.500
257,11.000
258,10.816
259,10.643
260,10.983
261,11.001
262,10.180
263,9.192
264,8.204
265,7.932
266,8.456
267,8.240
268,6.752
269,5.765
270,5.777
271,6.289
272,7.201
273,7.626
274,7.825
275,7.837
276,7.199
277,6.654
278,6.748
279,7.386
280,7.949
281,8.455
282,8.961
283,9.000
284,9.027
285,9.021
286,9.471
287,9.958
288,9.490
289,8.493
290,8.481
291,8.968
292,8.978
293,8.972
294,8.932
295,8.420
296,7.862
297,7.343
298,6.325
299,5.807
300,6.289
301,6.771
302,6.835
303,7.323
304,7.905
305,8.500
306,7.500
307,6.500
308,7.500
309,8.375
310,8.869
311,9.000
312,8.857
313,8.351
314,8.000
315,7.500
316,7.000
317,7.000
318,7.000
319,7.186
320,7.692
321,8.302
322,8.296
323,8.000
324,7.784
325,7.278
326,6.500
327,6.000
328,6.000
329,6.000
330,5.500
331,5.000
332,5.000
333,5.000
334,5.000
335,5.500
336,6.000
337,6.295
338,7.102
339,7.307
340,6.813
341,6.638
342,6.325
343,6.331
344,6.675
345,6.687
346,7.000
347,7.289
348,7.277
349,7.632
350,8.126
351,8.620
352,9.114
353,9.216
354,9.102
355,8.500
356,7.500
357,6.584
358,6.578
359,7.500
360,8.000
361,8.000
362,8.053
363,7.595
364,6.583
365,6.035
366,6.000
367,6.000
368,6.000
369,5.989
370,5.495
371,5.499
372,5.993
373,6.487
374,6.961
375,6.475
376,5.968
377,5.462
378,4.956
379,5.450
380,6.500
381,7.500
382,8.068
383,8.148
384,8.160
385,8.586
386,8.816
387,8.607
388,8.583
389,8.169
390,7.767
391,7.377
392,7.000
393,6.635
394,6.141
395,6.147
396,6.806
397,7.818
398,8.330
399,8.171
400,7.500
401,6.500
402,5.500
403,5.000
404,5.000
405,5.000
406,5.500
407,6.500
408,7.774
409,9.036
410,9.262
411,8.500
412,7.500
413,7.000
414,7.000
415,7.000
416,6.451
417,5.379
418,4.927
419,5.500
420,6.500
421,7.305
422,8.121
423,8.817
424,9.000
425,8.671
426,7.165
427,6.000
428,6.000
429,6.000
430,6.000
431,6.365
432,6.743
433,6.877
434,6.883
435,6.779
436,6.896
437,6.500
438,5.500
439,5.000
440,5.080
441,5.648
442,6.136
443,6.562
444,7.000
445,6.950
446,6.500
447,6.538
448,7.500
449,8.975
450,9.961
451,9.973
452,8.993
453,7.500
454,6.500
455,6.000
456,6.000
457,6.000
458,7.000
459,7.965
460,7.417
461,6.905
462,6.893
463,6.881
464,7.434
465,8.000
466,8.578
467,9.167
468,8.680
469,8.192
470,8.204
471,8.216
472,8.228
473,8.240
474,7.252
475,6.632
476,7.362
477,7.856
478,8.000
479,8.000
480,7.663
481,7.337
482,7.175
483,7.000
484,6.500
485,6.000
486,6.000
